FIGHT_ID,EVENT_ID,FIGHT_NAME,FIGHT_WEIGHTCLASS,FIGHT_METHOD,ROUND,TIME,FIGHT_TIME_FORMAT,FIGHT_REFEREE,FIGHT_DETAILS,MINUTE,SECOND,EVENT_NAME,EVENT_DATE,EVENT_LOCATION,FIGHT_WINNER,LOCAL,VISITOR,GENDER,YearMonth
9924,1163,Marc-Andre Barriault v Abu Azaitar,middleweight,kotko,3,296,3 Rnd (5-5-5),Jerin Valel,Punches to Head From Mount,4,56,UFC 260: Miocic vs. Ngannou,2021-03-27,"Las Vegas, Nevada, USA",Marc-Andre Barriault,Marc-Andre Barriault,Abu Azaitar,male,2021-03
9965,1167,Montana De La Rosa v Mayra Bueno Silva,flyweight,decisionmajority,3,300,3 Rnd (5-5-5),Jerin Valel,Decision,5,0,UFC Fight Night: Rozenstruik vs. Gane,2021-02-27,"Las Vegas, Nevada, USA",Mayra Bueno Silva,Montana De La Rosa,Mayra Bueno Silva,female,2021-02
9970,1167,Vince Cachero v Ronnie Lawrence,bantamweight,kotko,3,158,3 Rnd (5-5-5),Jerin Valel,Punches to Head On Ground,2,38,UFC Fight Night: Rozenstruik vs. Gane,2021-02-27,"Las Vegas, Nevada, USA",Ronnie Lawrence,Vince Cachero,Ronnie Lawrence,male,2021-02
10051,1174,Jimmy Flick v Cody Durden,flyweight,submission,1,198,3 Rnd (5-5-5),Jerin Valel,Flying Triangle       Flying Triangle,3,18,UFC Fight Night: Thompson vs. Neal,2020-12-19,"Las Vegas, Nevada, USA",Jimmy Flick,Jimmy Flick,Cody Durden,male,2020-12
10057,1175,Junior Dos Santos v Ciryl Gane,heavyweight,kotko,2,154,3 Rnd (5-5-5),Jerin Valel,Elbow to Head In Clinch,2,34,UFC 256: Figueiredo vs. Moreno,2020-12-12,"Las Vegas, Nevada, USA",Ciryl Gane,Junior Dos Santos,Ciryl Gane,male,2020-12
10060,1175,Gavin Tucker v Billy Quarantillo,featherweight,decisionunanimous,3,300,3 Rnd (5-5-5),Jerin Valel,Decision,5,0,UFC 256: Figueiredo vs. Moreno,2020-12-12,"Las Vegas, Nevada, USA",Gavin Tucker,Gavin Tucker,Billy Quarantillo,male,2020-12
10536,1218,Mauricio Rua v Paul Craig,heavyweight,decisionsplit,3,300,3 Rnd (5-5-5),Jerin Valel,Decision - Split,5,0,UFC Fight Night: Blachowicz vs. Jacare,2019-11-16,"Sao Paulo, Sao Paulo, Brazil",Paul Craig,Mauricio Rua,Paul Craig,male,2019-11
10546,1218,Vanessa Melo v Tracy Cortez,bantamweight,decisionunanimous,3,300,3 Rnd (5-5-5),Jerin Valel,Decision,5,0,UFC Fight Night: Blachowicz vs. Jacare,2019-11-16,"Sao Paulo, Sao Paulo, Brazil",Tracy Cortez,Vanessa Melo,Tracy Cortez,female,2019-11
10646,1227,Donald Cerrone v Justin Gaethje,lightweight,kotko,1,258,5 Rnd (5-5-5-5-5),Jerin Valel,Punch to Head At Distance,4,18,UFC Fight Night: Cowboy vs. Gaethje,2019-09-14,"Vancouver, British Columbia, Canada",Justin Gaethje,Donald Cerrone,Justin Gaethje,male,2019-09
10650,1227,Uriah Hall v Antonio Carlos Junior,middleweight,decisionsplit,3,300,3 Rnd (5-5-5),Jerin Valel,Decision - Split,5,0,UFC Fight Night: Cowboy vs. Gaethje,2019-09-14,"Vancouver, British Columbia, Canada",Uriah Hall,Uriah Hall,Antonio Carlos Junior,male,2019-09
