FIGHT_ID,EVENT_ID,FIGHT_NAME,FIGHT_WEIGHTCLASS,FIGHT_METHOD,ROUND,TIME,FIGHT_TIME_FORMAT,FIGHT_REFEREE,FIGHT_DETAILS,MINUTE,SECOND,FIGHT_STUB,EVENT_NAME,EVENT_DATE,EVENT_LOCATION,EVENT_STUB,DATE_YMD,URL,FIGHT_WINNER
10869,1245,Krzysztof Jotko v Alen Amedovski,Middleweight,Decision - Unanimous,3,05:00,3 Rnd (5-5-5),Herb Dean,Decision,5,0,krzysztof-jotko-v-alen-amedovski,UFC Fight Night: Overeem vs. Oleinik,"April 20, 2019","Saint Petersburg, Saint Petersburg, Russia",ufc-fight-night-overeem-vs-oleinik,20/04/2019,https://vegas-odds.com/ufc-fight-statistics/ufc-fight-night-overeem-vs-oleinik-1245/krzysztof-jotko-v-alen-amedovski-10869/,Krzysztof Jotko
10873,1245,Marcin Tybura v Shamil Abdurakhimov,Heavyweight,KO/TKO,2,03:15,3 Rnd (5-5-5),Herb Dean,Punches to Head At Distance,3,15,marcin-tybura-v-shamil-abdurakhimov,UFC Fight Night: Overeem vs. Oleinik,"April 20, 2019","Saint Petersburg, Saint Petersburg, Russia",ufc-fight-night-overeem-vs-oleinik,20/04/2019,https://vegas-odds.com/ufc-fight-statistics/ufc-fight-night-overeem-vs-oleinik-1245/marcin-tybura-v-shamil-abdurakhimov-10873/,Shamil Abdurakhimov
10902,1248,Stephen Thompson v Anthony Pettis,Welterweight,KO/TKO,2,04:55,5 Rnd (5-5-5-5-5),Herb Dean,Punch to Head At Distance,4,55,stephen-thompson-v-anthony-pettis,UFC Fight Night: Thompson vs. Pettis,"March 23, 2019","Nashville, Tennessee, USA",ufc-fight-night-thompson-vs-pettis,23/03/2019,https://vegas-odds.com/ufc-fight-statistics/ufc-fight-night-thompson-vs-pettis-1248/stephen-thompson-v-anthony-pettis-10902/,Anthony Pettis
10904,1248,John Makdessi v Jesus Pinedo,Lightweight,Decision - Unanimous,3,05:00,3 Rnd (5-5-5),Herb Dean,Decision,5,0,john-makdessi-v-jesus-pinedo,UFC Fight Night: Thompson vs. Pettis,"March 23, 2019","Nashville, Tennessee, USA",ufc-fight-night-thompson-vs-pettis,23/03/2019,https://vegas-odds.com/ufc-fight-statistics/ufc-fight-night-thompson-vs-pettis-1248/john-makdessi-v-jesus-pinedo-10904/,John Makdessi
10906,1248,Luis Pena v Steven Peterson,Featherweight,Decision - Unanimous,3,05:00,3 Rnd (5-5-5),Herb Dean,Decision,5,0,luis-pena-v-steven-peterson,UFC Fight Night: Thompson vs. Pettis,"March 23, 2019","Nashville, Tennessee, USA",ufc-fight-night-thompson-vs-pettis,23/03/2019,https://vegas-odds.com/ufc-fight-statistics/ufc-fight-night-thompson-vs-pettis-1248/luis-pena-v-steven-peterson-10906/,Luis Pena
10926,1250,Derrick Lewis v Junior Dos Santos,Heavyweight,KO/TKO,2,01:58,5 Rnd (5-5-5-5-5),Herb Dean,Punches to Head At Distance,1,58,derrick-lewis-v-junior-dos-santos,UFC Fight Night: Lewis vs. Dos Santos,"March 09, 2019","Wichita, Kansas, USA",ufc-fight-night-lewis-vs-dos-santos,09/03/2019,https://vegas-odds.com/ufc-fight-statistics/ufc-fight-night-lewis-vs-dos-santos-1250/derrick-lewis-v-junior-dos-santos-10926/,Junior Dos Santos
10929,1250,Blagoy Ivanov v Ben Rothwell,Heavyweight,Decision - Unanimous,3,05:00,3 Rnd (5-5-5),Herb Dean,Decision,5,0,blagoy-ivanov-v-ben-rothwell,UFC Fight Night: Lewis vs. Dos Santos,"March 09, 2019","Wichita, Kansas, USA",ufc-fight-night-lewis-vs-dos-santos,09/03/2019,https://vegas-odds.com/ufc-fight-statistics/ufc-fight-night-lewis-vs-dos-santos-1250/blagoy-ivanov-v-ben-rothwell-10929/,Blagoy Ivanov
10931,1250,Tim Boetsch v Omari Akhmedov,Middleweight,Decision - Unanimous,3,05:00,3 Rnd (5-5-5),Herb Dean,Decision,5,0,tim-boetsch-v-omari-akhmedov,UFC Fight Night: Lewis vs. Dos Santos,"March 09, 2019","Wichita, Kansas, USA",ufc-fight-night-lewis-vs-dos-santos,09/03/2019,https://vegas-odds.com/ufc-fight-statistics/ufc-fight-night-lewis-vs-dos-santos-1250/tim-boetsch-v-omari-akhmedov-10931/,Omari Akhmedov
10934,1250,Grant Dawson v Julian Erosa,Featherweight,Decision - Unanimous,3,05:00,3 Rnd (5-5-5),Herb Dean,Decision,5,0,grant-dawson-v-julian-erosa,UFC Fight Night: Lewis vs. Dos Santos,"March 09, 2019","Wichita, Kansas, USA",ufc-fight-night-lewis-vs-dos-santos,09/03/2019,https://vegas-odds.com/ufc-fight-statistics/ufc-fight-night-lewis-vs-dos-santos-1250/grant-dawson-v-julian-erosa-10934/,Grant Dawson
10939,1251,Jon Jones v Anthony Smith,UFC Light Heavyweight Title,Decision - Unanimous,5,05:00,5 Rnd (5-5-5-5-5),Herb Dean,Decision,5,0,jon-jones-v-anthony-smith,UFC 235: Jones vs. Smith,"March 02, 2019","Las Vegas, Nevada, USA",ufc-235-jones-vs-smith,02/03/2019,https://vegas-odds.com/ufc-fight-statistics/ufc-235-jones-vs-smith-1251/jon-jones-v-anthony-smith-10939/,Jon Jones
10941,1251,Robbie Lawler v Ben Askren,Welterweight,Submission,1,03:20,3 Rnd (5-5-5),Herb Dean,Bulldog Choke On Ground,3,20,robbie-lawler-v-ben-askren,UFC 235: Jones vs. Smith,"March 02, 2019","Las Vegas, Nevada, USA",ufc-235-jones-vs-smith,02/03/2019,https://vegas-odds.com/ufc-fight-statistics/ufc-235-jones-vs-smith-1251/robbie-lawler-v-ben-askren-10941/,Ben Askren
10945,1251,Misha Cirkunov v Johnny Walker,Light Heavyweight,KO/TKO,1,00:36,3 Rnd (5-5-5),Herb Dean,Flying Knee Head,0,36,misha-cirkunov-v-johnny-walker,UFC 235: Jones vs. Smith,"March 02, 2019","Las Vegas, Nevada, USA",ufc-235-jones-vs-smith,02/03/2019,https://vegas-odds.com/ufc-fight-statistics/ufc-235-jones-vs-smith-1251/misha-cirkunov-v-johnny-walker-10945/,Johnny Walker
10951,1252,Jan Blachowicz v Thiago Santos,Light Heavyweight,KO/TKO,3,00:39,5 Rnd (5-5-5-5-5),Herb Dean,Punch to Head At Distance,0,39,jan-blachowicz-v-thiago-santos,UFC Fight Night: Blachowicz vs. Santos,"February 23, 2019","Prague, Czech Republic",ufc-fight-night-blachowicz-vs-santos,23/02/2019,https://vegas-odds.com/ufc-fight-statistics/ufc-fight-night-blachowicz-vs-santos-1252/jan-blachowicz-v-thiago-santos-10951/,Thiago Santos
